case_id,city,case_type,relative_day,content_growth,search_growth,event_trigger,accessibility,supply_capacity,weather_fit,novelty,cross_region_spread,risk_pressure,composite_score,future_hot_label,data_status
哈尔滨-demo,哈尔滨,历史正例模板,-3,77.9,73.4,65.4,74,82,88,76,71.1,40.6,69.4,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-2,77.6,73.5,71.2,74,82,88,76,70.1,41.0,69.9,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,-1,77.9,70.8,70.8,74,82,88,76,74.3,44.7,69.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,0,82.2,71.0,77.2,74,82,88,76,73.4,37.8,72.0,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,1,79.3,76.9,75.9,74,82,88,76,74.0,41.9,71.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,2,79.9,73.9,75.7,74,82,88,76,73.4,41.5,71.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,3,84.9,71.1,76.4,74,82,88,76,81.0,41.7,72.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,4,84.2,74.1,75.7,74,82,88,76,69.3,42.5,71.7,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,5,81.7,73.3,75.8,74,82,88,76,76.8,45.4,71.3,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,6,80.9,74.2,77.6,74,82,88,76,75.9,44.7,71.6,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,7,86.7,72.9,76.1,74,82,88,76,74.0,45.5,72.1,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,8,82.9,72.7,73.4,74,82,88,76,72.5,41.3,71.4,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,9,81.9,72.7,80.5,74,82,88,76,75.5,41.0,72.4,1,模拟数据/方法演示
哈尔滨-demo,哈尔滨,历史正例模板,10,82.1,77.5,77.4,74,82,88,76,75.3,42.3,72.7,1,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-30,17.8,18.1,28.9,64,66,70,56,25.8,22.3,34.2,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-29,18.7,19.6,26.8,64,66,70,56,23.3,25.6,33.7,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-28,18.1,23.7,26.6,64,66,70,56,36.8,24.8,35.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-27,25.6,20.3,32.9,64,66,70,56,28.0,20.9,37.3,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-26,26.2,20.5,26.1,64,66,70,56,33.6,22.1,37.0,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-25,25.9,18.5,28.9,64,66,70,56,25.4,28.8,35.1,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-24,28.7,19.0,33.0,64,66,70,56,25.4,23.7,37.0,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-23,27.9,17.6,33.3,64,66,70,56,30.2,23.1,37.2,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-22,21.5,15.2,28.7,64,66,70,56,27.2,22.7,34.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-21,25.1,16.4,37.0,64,66,70,56,26.5,21.2,36.7,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-20,26.4,15.5,36.7,64,66,70,56,22.7,20.9,36.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-19,19.3,13.7,32.1,64,66,70,56,26.6,19.7,34.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-18,17.4,12.0,32.0,64,66,70,56,35.9,24.9,34.0,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-17,21.0,12.2,26.6,64,66,70,56,28.4,23.6,33.7,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-16,14.2,9.9,30.1,64,66,70,56,24.7,21.6,32.1,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-15,18.7,13.9,29.3,64,66,70,56,24.9,20.9,33.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-14,18.7,8.8,29.0,64,66,70,56,34.8,25.2,33.2,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-13,14.8,14.4,28.8,64,66,70,56,28.2,24.7,32.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-12,12.7,11.5,34.0,64,66,70,56,30.0,27.2,32.2,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-11,15.8,15.2,34.0,64,66,70,56,30.6,22.0,34.4,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-10,14.9,12.7,36.7,64,66,70,56,31.3,24.6,33.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-9,16.5,14.9,29.0,64,66,70,56,30.3,22.4,33.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-8,13.0,13.0,27.1,64,66,70,56,30.7,28.4,31.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-7,12.1,15.0,33.7,64,66,70,56,31.7,20.1,33.9,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-6,20.6,18.0,32.7,64,66,70,56,27.2,28.5,34.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-5,16.1,23.1,29.4,64,66,70,56,29.1,22.7,35.1,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-4,24.8,18.3,31.6,64,66,70,56,26.9,23.7,36.0,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-3,30.0,23.3,32.2,64,66,70,56,26.4,27.7,37.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-2,22.7,23.4,35.1,64,66,70,56,27.6,22.0,37.2,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,-1,26.3,22.1,29.0,64,66,70,56,30.7,21.4,37.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,0,26.2,26.1,25.8,64,66,70,56,29.1,21.3,37.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,1,32.3,25.2,28.5,64,66,70,56,25.2,22.3,38.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,2,30.0,28.7,28.7,64,66,70,56,26.8,25.0,38.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,3,32.2,25.8,23.9,64,66,70,56,24.1,26.6,37.4,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,4,31.1,25.0,29.4,64,66,70,56,27.8,22.8,38.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,5,29.1,25.4,26.2,64,66,70,56,33.8,25.2,38.1,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,6,25.5,24.8,32.2,64,66,70,56,32.3,24.4,37.9,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,7,23.7,20.5,30.7,64,66,70,56,33.8,25.7,36.5,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,8,23.3,22.5,34.5,64,66,70,56,29.5,25.3,36.8,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,9,20.4,23.6,33.1,64,66,70,56,27.1,21.1,36.6,0,模拟数据/方法演示
对照城市A-demo,对照城市A,对照组模板,10,21.3,20.0,32.2,64,66,70,56,31.7,22.1,36.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-30,12.9,20.5,33.4,64,66,70,56,25.9,23.8,33.9,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-29,25.6,22.6,30.9,64,66,70,56,29.6,22.9,37.3,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-28,22.7,23.3,30.9,64,66,70,56,27.2,23.9,36.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-27,26.3,20.2,31.6,64,66,70,56,31.1,22.2,37.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-26,26.0,17.8,26.1,64,66,70,56,28.6,21.4,36.1,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-25,23.8,23.2,26.6,64,66,70,56,29.0,20.7,36.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-24,24.4,19.0,30.6,64,66,70,56,28.3,24.0,36.0,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-23,29.3,20.0,32.4,64,66,70,56,30.4,25.1,37.6,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-22,24.3,19.3,36.8,64,66,70,56,25.5,25.8,36.3,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-21,25.9,15.4,29.9,64,66,70,56,32.4,26.8,35.6,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-20,27.0,13.4,31.1,64,66,70,56,29.5,21.4,36.2,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-19,17.9,15.7,35.7,64,66,70,56,30.5,25.7,34.6,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-18,25.0,11.5,30.5,64,66,70,56,27.4,23.3,34.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-17,18.5,10.5,31.6,64,66,70,56,28.8,23.9,33.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-16,17.1,9.5,30.8,64,66,70,56,31.9,25.1,33.0,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-15,19.5,13.0,29.3,64,66,70,56,27.5,20.2,34.2,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-14,14.6,14.5,33.5,64,66,70,56,32.8,21.0,34.3,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-13,7.0,17.1,28.5,64,66,70,56,26.8,23.0,31.6,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-12,13.1,16.9,32.9,64,66,70,56,30.4,25.0,33.5,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-11,12.0,14.6,31.1,64,66,70,56,28.5,21.6,33.0,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-10,8.6,13.2,28.6,64,66,70,56,31.4,22.1,31.9,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-9,10.7,17.8,37.5,64,66,70,56,30.5,24.4,33.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-8,16.9,17.4,38.6,64,66,70,56,25.6,24.1,34.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-7,15.2,18.0,30.0,64,66,70,56,23.1,30.0,32.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-6,19.6,13.1,30.2,64,66,70,56,24.8,24.4,33.5,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-5,16.7,20.8,34.5,64,66,70,56,26.7,21.2,35.4,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-4,23.9,20.6,28.6,64,66,70,56,28.9,24.3,36.0,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-3,25.5,24.7,30.6,64,66,70,56,31.5,22.1,37.9,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-2,22.4,27.5,34.4,64,66,70,56,32.0,25.1,37.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,-1,26.2,23.4,32.2,64,66,70,56,29.5,20.2,38.1,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,0,27.7,24.3,31.5,64,66,70,56,31.6,26.0,37.9,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,1,32.4,28.9,32.6,64,66,70,56,28.6,21.6,40.2,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,2,29.8,28.7,31.6,64,66,70,56,30.7,22.7,39.5,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,3,27.1,26.8,29.6,64,66,70,56,26.4,28.9,37.0,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,4,32.6,27.2,30.9,64,66,70,56,29.2,27.7,38.9,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,5,28.6,26.3,29.0,64,66,70,56,29.0,26.6,37.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,6,26.3,21.7,29.9,64,66,70,56,32.7,17.7,38.3,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,7,21.9,22.8,30.7,64,66,70,56,32.7,26.1,36.3,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,8,20.4,20.6,30.7,64,66,70,56,26.4,20.6,35.8,0,模拟数据/方法演示
对照城市B-demo,对照城市B,对照组模板,9,17.2,23.4,37.2,64,66,70,56,26.4,24.1,35.8,0,模拟数据/方法演示
